Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:53:24,40.75,0.0,-64.6,9.5
19:53:24,32.75,0.0,-61.0,13.7
19:53:24,25.97,0.0,-17.7,10.8
19:53:25,15.55,40.6,0.0,4.6
19:53:25,10.88,69.0,0.0,-12.0
19:53:25,12.09,0.0,-14.2,25.2
19:53:25,17.06,0.0,-23.2,48.3
19:53:25,19.66,0.0,-48.4,-2.2
19:53:25,33.18,0.0,-65.8,-1.6
19:53:25,72.83,0.0,-69.2,3.5
19:53:25,76.7,0.0,-63.9,11.2
19:53:25,51.32,0.0,-70.0,10.0
19:53:25,38.01,0.0,-57.3,19.5
19:53:26,33.19,0.0,-30.5,20.3
19:53:26,24.25,1.8,0.0,5.6
19:53:26,13.97,64.5,0.0,-13.2
19:53:26,10.81,0.0,-25.6,33.8
19:53:26,15.06,0.0,-13.3,40.6
19:53:26,19.17,0.0,-17.7,2.7
19:53:26,24.9,0.0,-65.3,-1.3
19:53:26,61.81,0.0,-60.1,-2.7
19:53:26,85.71,0.0,-69.5,4.4
19:53:26,63.04,0.0,-68.0,7.1
19:53:27,42.15,0.0,-62.6,14.1
19:53:27,33.93,0.0,-35.8,22.8
19:53:27,24.12,0.0,-1.4,15.5
19:53:27,14.07,49.0,0.0,-19.7
19:53:27,10.5,0.0,-58.6,25.3
19:53:27,13.37,0.0,-19.2,28.7
19:53:27,18.06,0.0,-18.2,69.9
19:53:27,21.14,0.0,-50.0,-0.2
19:53:27,52.13,0.0,-72.9,3.9
19:53:27,88.34,0.0,-70.6,10.3
19:53:28,67.77,0.0,-70.6,14.6
19:53:28,43.1,0.0,-69.1,10.8
19:53:28,32.95,0.0,-54.9,10.9
19:53:28,22.76,0.0,-21.0,12.3
19:53:28,13.68,25.0,0.0,1.0
19:53:28,10.55,67.6,0.0,-16.3
19:53:28,11.89,0.0,-21.8,27.2
19:53:28,16.21,0.0,-20.1,49.7
19:53:28,18.75,0.0,-46.2,-1.6
19:53:28,33.1,0.0,-64.5,-2.3
19:53:29,77.47,0.0,-68.0,6.4
19:53:29,81.43,0.0,-61.7,12.5
19:53:29,50.77,0.0,-66.2,9.2
